GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TP1,default,AnimalDansMauvaisSecteurException,2,4,0,0,1,2,1,1,1,1
TP1,default,App,99,0,2,0,30,0,3,0,2,0
TP1,default,TypeAnimal,0,34,0,0,0,4,0,1,0,1
TP1,default,Rat,0,10,0,0,0,4,0,2,0,2
TP1,default,Animal,0,13,0,0,0,5,0,3,0,3
TP1,default,Secteur,4,21,0,0,1,7,1,3,1,3
TP1,default,Chat,0,10,0,0,0,4,0,2,0,2
TP1,default,LimiteVisiteurException,2,4,0,0,1,2,1,1,1,1
TP1,default,Zoo,21,114,2,8,5,23,2,9,1,5
TP1,default,Chien,0,10,0,0,0,4,0,2,0,2
